海南航空股份有限公司电子客票出票报表
单位名称:,珠海泰申发展有限公司
第一部分:,销售明细
销售日期:,2010-11-01至2010-11-29

交易编号,起始票号,终止票号,PNR,人数,旅客类型,航段数,航段,航班号,舱位,航班日期,币种,票面金额,机场税,燃油税,其它税,票款总额,代理费,基础代理费,附加代理费,银行支付金额,E付卡支付金额,支付银行,银行订单号,E付卡支付订单号,出票时间,销售人ID,出票人ID,出票类型,原起始票号,原终止票号
'201011051632404309,880-2120573180,880-2120573180,FGRTW,1,成人,1,SZXNGB,HU7313,H,20101107,人民币,990.0,50.0,70.0,0.0,1001.0,109.0,30.0,79.0,1001.0,0.0,BILL99YS-HUB2C,'2010110501424491,-,2010-11-05 16:35,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051635214409,880-2120573263,880-2120573264,DK5NH,2,成人,1,CANHFE,HU7039,X,20101109,人民币,1040.0,100.0,140.0,0.0,1186.0,94.0,32.0,62.0,1186.0,0.0,BILL99YS-HUB2C,'2010110501424532,-,2010-11-05 16:37,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051723086038,880-2120576153,880-2120576153,HC5L2,1,成人,1,NGBSZX,HU7314,M,20101110,人民币,810.0,50.0,70.0,0.0,874.0,56.0,24.0,32.0,874.0,0.0,BILL99YS-HUB2C,'2010110501425495,-,2010-11-05 17:25,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051736506476,880-2120576944,880-2120576944,X89RX,1,成人,1,SZXSYX,HU7325,Y,20101108,人民币,890.0,50.0,70.0,0.0,912.0,98.0,27.0,71.0,912.0,0.0,BILL99YS-HUB2C,'2010110501425833,-,2010-11-05 17:41,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051806597272,880-2120578163,880-2120578164,Y6L0M,2,成人,1,SZXKWE,HU7741,U,20101120,人民币,840.0,100.0,140.0,0.0,986.0,94.0,26.0,68.0,986.0,0.0,BILL99YS-HUB2C,'2010110501426272,-,2010-11-05 18:08,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051929358832,880-2120580590,880-2120580591,ZZNGF,2,成人,1,SZXPEK,HU7702,M,20101108,人民币,2460.0,100.0,140.0,0.0,2430.0,270.0,74.0,196.0,2430.0,0.0,BILL99YS-HUB2C,'2010110501427119,-,2010-11-05 19:31,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011051937268949,880-2120580738,880-2120580738,WRXZ3,1,成人,1,CANPEK,HU7802,M,20101106,人民币,1190.0,50.0,70.0,0.0,1179.0,131.0,36.0,95.0,1179.0,0.0,BILL99YS-HUB2C,'2010110501427192,-,2010-11-05 19:40,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011061116287813,880-2120590773,880-2120590775,DT8PZ,3,成人,1,SZXKWE,HU7741,L,20101107,人民币,2130.0,150.0,210.0,0.0,2256.0,234.0,63.0,171.0,2256.0,0.0,BILL99YS-HUB2C,'2010110601431366,-,2010-11-06 11:22,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011061208509182,880-2120592509,880-2120592509,ZMWLX,1,成人,1,SZXNGB,HU7313,Q,20101109,人民币,700.0,50.0,70.0,0.0,743.0,77.0,21.0,56.0,743.0,0.0,BILL99YS-HUB2C,'2010110601432075,-,2010-11-06 12:11,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011061310031593,880-2120594455,880-2120594455,C567N,1,成人,1,SZXTYN,HU7326,Y,20101107,人民币,1550.0,50.0,70.0,0.0,1499.0,171.0,47.0,124.0,1499.0,0.0,BILL99YS-HUB2C,'2010110601432895,-,2010-11-06 13:11,B@TAISHEN888,B@TAISHEN888,购票,-,-
